父微博用户ID,count,followers,TimeDIST,NetDIST,feature
3f50ea63658117548c577f042c5c1774,21,116,325,2,0
c6a51351b972b5499dced3b1dec07927,21,493,750,1,0
4712d2eb91bb6609b3f4d24bb6861b93,22,192,277,6,0
949507815d06969877dd4520c2e37cf8,22,20,24,5,0
d4f6820145d36bb575d092967103e654,23,185,259,5,0
be4f164289ab97d3390248a3746a53a8,23,31,1393,2,0
572c8ea89aab5ed2cd126945597b9bd6,24,123,540,2,0
ca98347437f9505c19e5703e8fcb0a37,24,302,34,2,0
d31b5740c902262940cdd70a0ec67945,24,4,39,1,0
694a10534bd055365d87958e132de9dc,25,547,31,7,0
e7c5d11e0479dc188256163a35368d48,25,400,473,10,0
421341f58cb2a4134854626f236a2179,25,243,3,1,0
f8fcf75e00eedd3cb08e4e34b08e019c,25,803,1231,4,0
91c0757c84405b71a49354f2193b53e0,25,92,209,1,0
ecd350325dde0a7dd19804fb422d01d2,26,525,71,5,0
a034cd07bef17b080e02323c58340381,26,863,236,1,0
e010f9bc988eae84eb5b7440317d8d8c,26,162,11,2,0
d16d80d9e2bdc90955cb80a50746ae81,26,491,123,4,0
7fb22e9f92a9af0dbd65e2913608148a,27,371,175,1,0
3ac62331c13539bd2445e4797c704e3d,27,294,171,2,0
0641ed991795a40fa273f227b071a216,27,291,853,1,0
421341f58cb2a4134854626f236a2179,27,243,10,2,0
3a3992c9294db76c9b129bb6f867ebe1,28,169,948,11,0
241c189090dfcfcca8569b3c450166c7,28,494,190,1,0
9fe79d7d96788a264c02ca3d9f018c8e,29,799,42,1,0
47a449af51bec35db6a43c33a788e8fe,29,233,941,3,0
64f8f1aca6b5e1c9ea5d3f102295ac0e,29,55,53,1,0
1d90b148ffc0cd15321f35b0563ce28c,29,504,196,2,0
b6e425775fc670efa502b8f49952c5fc,29,394,311,3,0
e885a188ab7609c93d98142758e58c47,29,83,83,4,0
fc90977dc07f74598122c786c439bbff,29,695,229,2,0
f38cb47fb0fdbeaf73da4bf23eb869b7,30,443,160,2,0
0ecfb78997a9f4b7e89082e99df419a9,30,397,1082,1,0
3b9355df6a2f443bf33c18ba4f86c495,30,142,38,4,0
6e15f1bb4153d5761b721f261f0699e4,30,177,76,4,0
e358a266d565a54c065fe42091960951,31,471,172,3,0
be351e2955488c82a832d5ef9c10b3cd,31,114,42,2,0
7447c09ce4cadb45552493a902b089ed,31,141,100,2,0
bc7e4edf985d1da649b7e03556a5ac07,31,358,224,1,0
384e6364e5682f016694d2bb2d0a18af,32,774,639,1,0
731e0e5494614166df82a85ca9e1234a,32,245,862,3,0
8399687ce4901b4a49a55505236b82dd,32,14,27,2,0
d7d125f9605eb875d04cb2940202b7c7,33,407,48,3,0
8120df4b18e75c1113b9f25b7050d57d,33,160,1008,2,0
3946b2e1829cee6dc19464d3b2064df4,33,983,25,5,0
e36127e1d3fff51c63a84354a7e9a193,34,570,37,1,0
291fe5cd9999a9c68cd4ea780d1ff5af,34,189,1089,1,0
95f27391d531f5c81412213294304065,35,1364,228,2,0
ff9364be5d4ec20fe38108ebc96d9671,35,190,378,4,0
800aebd10aa859549712af7faa264bed,36,86,19,2,0
cf949cfb65257a8c6010b4173f13a7d6,37,1463,618,3,0
28f7dce3fbe473c4e8bfcf51dda3cc3a,38,89,52,8,0
716c769bb6d6aaf78ebb95a7ebab582d,40,725,155,1,0
291fe5cd9999a9c68cd4ea780d1ff5af,42,189,30,1,0
b1bf8e72bfaa33d608dc77a7c93fd397,42,563,133,4,0
cca0c77c6e8d5b3f373b5ad974f3e4f9,42,345,45,3,0
d9f5bbb77995664d6afee258e73e5da8,43,1298,124,3,0
61344f8424cd53f6d8c09e38931f696d,44,560,630,2,0
d02fe5ae9d34938a89bf00eb4b457152,45,1197,27,1,0
191847c2b9342d87ff5693fd22d7b6be,46,236,373,2,0
a7dd07d3655174cb41e7c95d503a1a5c,46,595,25,3,0
de573b15076940f1a2e51c3c48e6227a,48,690,1246,1,0
a1518fbc4d82b37dcf7d2a603d567ad5,50,905,142,1,0
20f71cd638c67f2764b4108fb3b8f7c8,51,972,340,2,0
030e7716671a76d35daef80682dc8766,53,1155,84,3,0
cad59422d0843f756f7e04b0925dcb5b,54,41,960,5,0
6d95e97915e780cbfb466933382150f6,58,537,22,4,0
32513335e97e6d5161b1115b5937827d,58,146,987,2,0
b958d07f1557dd534eb991855cc88dbb,59,862,317,5,0
5f3c189c72bf5a9feaadfb3421054659,60,15,266,4,0
030e7716671a76d35daef80682dc8766,61,1155,22,4,0
e51bbe8471fbf05507c47d2f746a7cd3,61,493,165,3,0
87a1ff5a60a23251ce64abfa2374afc9,66,131,520,3,0
d7d125f9605eb875d04cb2940202b7c7,68,407,7,1,0
4598896a47797f8bcb161aa4b3c9065f,68,184,232,7,0
19bdef4efe43dbbcb3e60500748411eb,68,1298,91,2,0
ea151944121ef4b9e6ebfb3801c9ef8f,69,1163,1437,3,0
4472dd0f57eca1eaf4a12761cf586c61,70,1191,146,1,0
315b1004bdaec82614b43a087d1a3d47,73,297,272,3,0
6f8274355a16ba11c4871e90e601125b,74,680,174,3,0
a75aa0e8bd656df0d430a84393b3801b,74,1701,1221,2,0
7bf66fad923faccb45ed31c00eeb2e70,77,1694,52,2,0
d570d7cf1bca056e3d202b615c4dc4f6,77,2331,11,1,0
6f592f017deedd81889f8bff61c75db5,79,386,198,2,0
77d694ff1856c42c3242a2e5d85a002f,80,352,213,1,0
900ec2f4d62f774b7c62295d44a96cdf,80,662,143,3,0
d1d370e2928a4d49a91edf4ced6db431,81,1907,29,3,0
d462d66b8042ad8af59c9b1ab7cffa1a,81,1079,8,2,0
f6c259579d9876137b7b68cc9aaf9300,81,845,173,2,0
93266b2d3675b4511327b09423131c67,83,42,3,2,0
13dfba43de47dbcd2a07e01950c1e00d,83,3652,294,2,0
2e59c64a49736a5b5647f41eec9be686,88,128,3,1,0
e866f5c5af1be3c112c94f9a479827bf,89,143,96,1,0
5dd5daff5f842fc34c2af968efa64211,92,211,799,1,0
11ddd140f0335fa89475528208fa0f15,94,445,1155,2,0
8d114e5a8f8bb3c4250d10ca4d40772d,95,2148,158,2,0
06e1bebf7d92e41093c20917656f1eba,97,1742,146,3,0
eb2aad46255a5412a9754847c646d91e,98,430,144,2,0
bd3daa1b89b3c1e12d460b19bf2a9e10,102,1657,79,6,0
d462d66b8042ad8af59c9b1ab7cffa1a,107,1079,6,1,0
ef4d7d39f7b3997e79f1179d6fb4074f,114,898,138,4,0
030e7716671a76d35daef80682dc8766,115,1155,708,8,0
d2ad3981f3c1bb2873101010c66d6d52,117,1946,1232,2,0
723ac18cb30b88a9a84748ed619d7ac8,119,721,461,11,0
c4daf0e54d59ef196ea94c9a682209a4,120,1719,1025,2,0
18a4708426d8bac6532d5f9c04c14eed,121,392,34,2,0
e44f5031859d309f3353d2874ffa7192,125,2193,23,1,0
0f5dd75fa2ed482523b629b5f83e4ac1,126,706,35,1,0
bdf80da5bad06006922252bf8df23f2b,128,1068,7,1,0
3af9463319ed7385f1a1fdf0399b432e,129,659,108,2,0
58e0de5396d44f85c178d7e6f4114fdb,130,44,0,0,0
ef0c4a6456df38caa08d4a1df614faf6,131,3355,188,3,0
f800af585a8a364091877f1a78f8042d,134,421,37,1,0
0718603c176da086c69dc07966d46180,138,2531,137,4,0
3fc3e4ebf89566b4063e51b0c826a744,139,988,845,1,0
01b874689f63fbbf1a437efa9a1a31cb,142,3873,104,2,0
ddacffd27d6eecd0ac02961a72c89af4,148,2382,89,2,0
cc6f1f8154906f716b10c87135e7d3a8,150,7993,10,1,0
a554ae33e37578d387b1411277333e05,156,1744,63,4,0
1bdb96a290cbd7b357605eccf4f2d27e,159,982,47,2,0
da403415766cebfe1d141e80a13ee820,161,1993,22,2,0
2a72d278ae183f70cee992bd6102dd61,161,3367,22,3,0
e44f5031859d309f3353d2874ffa7192,171,2193,156,2,0
269514e3919489d4991aa60aa5b50574,171,1486,892,2,0
e61671ae6229fd2e329abffb1fab99a3,172,1999,118,3,0
6177f90a758e2e2daa117d9258e7bea1,179,1477,199,1,0
7918251d2acf470a8dcdf36f55b94329,191,1774,96,2,0
ddbc3da8202cb48e0fe05de6a5b32090,201,1524,15,2,0
e61671ae6229fd2e329abffb1fab99a3,207,1999,130,2,0
e728aa4d2d8ca96d73b8fcccace8ae02,217,1575,1031,1,0
2ac16bf2dbae9635afac69cd1f217340,220,3636,121,1,0
13dfba43de47dbcd2a07e01950c1e00d,220,3652,78,2,0
0718603c176da086c69dc07966d46180,226,2531,14,4,0
51e76121da372c9271062baa298b8863,238,1605,1213,1,0
68db5c4507b37034a90d34563e20225f,242,2953,198,3,0
bc6f6d19d2a9eca5a8720caca4e07908,252,877,145,2,0
e44f5031859d309f3353d2874ffa7192,266,2193,143,2,0
a910804dcbc2f02ce0de7de89055620e,271,5924,1039,1,0
c5b0c6257c846681c0162507831bdf0f,280,3246,93,2,0
217a7740a38412db4525c1cfb44ff5ca,354,2555,163,2,0
15b621ce165a15a31d58731867c445ac,360,1985,226,2,0
b672fadcb306797bbba44cae1ecf5765,364,2253,120,2,0
c360f812947e14510ff253242e51afae,379,4779,47,7,0
a910804dcbc2f02ce0de7de89055620e,459,5924,872,2,0
6c87a723ba495b516ccc5131f7737f98,477,11750,0,0,0
1c2facd59cff30780a9061551a37737e,529,9592,10,1,0
f911a0b97f2bbfd1244b92b1123c0de3,569,600,43,2,0
60c751318f4cf2adf7c870a1cf2ce0e8,577,2052,0,0,0
08cdef76074f5bf9bd0e53803fe8561f,835,33,0,0,0
a8d101c2085a3ac58d9cb1029c7d6bc2,1229,1564,0,0,1
df319c996508d16f19cc687aa7e19a83,1293,403,0,0,1
768c8145171a276365164af3bd2b94c3,1410,5010,0,0,1
cf2a4b8fa6ffc9ca1f219fd19933f2cf,1476,21,647,1,1
8920a3b5f03b8f613873eea3b61a1c93,1686,873,0,0,1
eaf6d21b853f1cbdeb12a23f5c4fee18,1794,5405,0,0,1
4c9e111bfaa03881a458a460b0722709,1901,29,0,0,1
bb315eee2c36d6bfe63036559625c98b,2015,503,0,0,1
a52c51402a6f2f708767e38a351e2d00,2276,1549,0,0,1
bd996818a67dad91fc0fb67fe78a6bc3,2392,185,0,0,1
76bff4a214153e162c98d7ff7d7f9e06,2500,3918,0,0,1
c7af761e0f90995b5a9a0827276f0512,2960,2079,0,0,1
318fc95107fd4ff003a3167940091152,3095,29574,0,0,1
3e9e04cfa8924207ae0d0ced47cca7ba,3165,2138,0,0,1
14baec16e62afaf8aac187f828122d21,3243,3027,0,0,1
407ca48f6b41117e98fb675a8af44261,3259,2573,0,0,1
59201a4cb94b46ae9ef8a16b9cdec55e,3641,553,0,0,1
318fc95107fd4ff003a3167940091152,4121,29574,0,0,1
1ccd36b5a88b0641491e8e315cc889cd,4183,260,0,0,1
c7d207133d5343995b0e98e22a6edc7d,4190,9525,0,0,1
43a971db6364c4ed7cd101feca243600,4567,31088,0,0,1
12d856f800dc42c4c5229b99cbeb4053,6226,1289,0,0,1
03e1002b3e6a2a4d9d1f110232da0088,6494,1370,0,0,1
013be8a44f35b9368f36715b053aa990,8317,736,0,0,1
